10个全向干扰源
12:17:58	进入	--	--	进入成功	0.000 s
12:18:23	测量	(1145.00, 1185.00)	1	未检测到信号	2294.319 s
12:18:23	测量	(1145.00, 1185.00)	10	未检测到信号	2300.319 s
12:18:23	测量	(1145.00, 1185.00)	11	未检测到信号	2306.319 s
12:18:23	测量	(1145.00, 1185.00)	12	示向度 168.64°	2312.319 s
12:18:23	清除	(1145.00, 1185.00)	18	清除成功	2317.319 s
12:18:24	测量	(895.00, 1185.00)	12	示向度 163.59°	2372.319 s
12:18:24	测量	(895.00, 1185.00)	3	未检测到信号	2378.319 s
12:18:24	测量	(895.00, 1185.00)	8	示向度 192.18°	2384.319 s
12:18:24	测量	(895.00, 1185.00)	9	未检测到信号	2390.319 s
12:18:24	测量	(895.00, 1185.00)	19	未检测到信号	2396.319 s
12:18:24	测量	(678.49, 1310.00)	6	未检测到信号	2452.319 s
12:18:24	测量	(678.49, 1310.00)	7	未检测到信号	2458.319 s
12:18:24	测量	(678.49, 1310.00)	8	示向度 205.23°	2464.319 s
12:18:24	测量	(678.49, 1310.00)	12	示向度 172.44°	2470.319 s
12:18:24	测量	(678.49, 1310.00)	20	未检测到信号	2476.319 s
12:18:24	测量	(428.49, 1310.00)	8	示向度 217.04°	2532.319 s
12:18:24	测量	(428.49, 1310.00)	10	未检测到信号	2538.319 s
12:18:24	测量	(428.49, 1310.00)	11	未检测到信号	2544.319 s
12:18:24	测量	(428.49, 1310.00)	12	示向度 147.21°	2550.319 s
12:18:24	测量	(428.49, 1310.00)	13	未检测到信号	2556.319 s
12:18:25	测量	(375.00, 1350.00)	1	未检测到信号	2575.678 s
12:18:25	测量	(375.00, 1350.00)	8	示向度 224.46°	2581.678 s
12:18:25	测量	(375.00, 1350.00)	9	未检测到信号	2587.678 s
12:18:25	测量	(375.00, 1350.00)	12	示向度 181.25°	2593.678 s
12:18:25	测量	(375.00, 1350.00)	14	未检测到信号	2599.678 s
12:18:25	清除	(375.00, 1350.00)	12	清除成功	2604.678 s
12:18:25	测量	(250.00, 1133.49)	3	未检测到信号	2660.678 s
12:18:25	测量	(250.00, 1133.49)	7	未检测到信号	2666.678 s
12:18:25	测量	(250.00, 1133.49)	8	示向度 210.45°	2672.678 s
12:18:25	测量	(250.00, 1133.49)	19	未检测到信号	2678.678 s
12:18:25	测量	(30.00, 1000.00)	6	未检测到信号	2736.145 s
12:18:25	测量	(30.00, 1000.00)	8	距离过近	2742.145 s
12:18:25	测量	(30.00, 1000.00)	13	未检测到信号	2748.145 s
12:18:26	测量	(30.00, 1000.00)	20	未检测到信号	2754.145 s
12:18:26	清除	(30.00, 1000.00)	8	清除成功	2759.145 s
12:18:26	测量	(1200.00, -1200.00)	20	未检测到信号	3262.498 s
12:18:26	测量	(1200.00, -1200.00)	1	未检测到信号	3268.498 s
12:18:26	测量	(1200.00, -1200.00)	3	未检测到信号	3274.498 s
12:18:26	测量	(1200.00, -1200.00)	6	未检测到信号	3280.498 s
12:18:26	测量	(1200.00, -1200.00)	7	未检测到信号	3286.498 s
12:18:26	测量	(1200.00, -1200.00)	9	未检测到信号	3292.498 s
12:18:26	测量	(1200.00, -1200.00)	10	未检测到信号	3298.498 s
12:18:26	测量	(1200.00, -1200.00)	11	未检测到信号	3304.498 s
12:18:26	测量	(1200.00, -1200.00)	13	未检测到信号	3310.498 s
12:18:26	测量	(1200.00, -1200.00)	14	示向度 228.59°	3316.498 s
12:18:26	测量	(1200.00, -1200.00)	19	未检测到信号	3322.498 s
12:18:26	测量	(1075.00, -1416.51)	19	未检测到信号	3377.498 s
12:18:26	测量	(1075.00, -1416.51)	7	未检测到信号	3383.498 s
12:18:26	测量	(1075.00, -1416.51)	13	未检测到信号	3389.498 s
12:18:26	测量	(1075.00, -1416.51)	14	示向度 195.54°	3395.498 s
12:18:26	测量	(990.00, -1440.00)	14	距离过近	3418.135 s
12:18:26	测量	(990.00, -1440.00)	3	未检测到信号	3424.135 s
12:18:26	测量	(990.00, -1440.00)	10	未检测到信号	3430.135 s
12:18:26	测量	(990.00, -1440.00)	11	未检测到信号	3436.135 s
12:18:26	清除	(990.00, -1440.00)	14	清除成功	3441.135 s
12:18:27	测量	(990.00, -1440.00)	1	未检测到信号	3447.135 s
12:18:27	测量	(990.00, -1440.00)	6	未检测到信号	3453.135 s
12:18:27	测量	(990.00, -1440.00)	7	未检测到信号	3459.135 s
12:18:27	测量	(990.00, -1440.00)	9	未检测到信号	3465.135 s
12:18:27	测量	(990.00, -1440.00)	13	未检测到信号	3471.135 s
12:18:27	测量	(990.00, -1440.00)	20	未检测到信号	3477.135 s
12:18:27	测量	(0.00, -1200.00)	20	未检测到信号	3685.870 s
12:18:27	测量	(0.00, -1200.00)	1	未检测到信号	3691.870 s
12:18:27	测量	(0.00, -1200.00)	3	未检测到信号	3697.870 s
12:18:27	测量	(0.00, -1200.00)	6	未检测到信号	3703.870 s
12:18:27	测量	(0.00, -1200.00)	7	未检测到信号	3709.870 s
12:18:27	测量	(0.00, -1200.00)	9	未检测到信号	3715.870 s
12:18:27	测量	(0.00, -1200.00)	10	未检测到信号	3721.870 s
12:18:27	测量	(0.00, -1200.00)	11	未检测到信号	3727.870 s
12:18:27	测量	(0.00, -1200.00)	13	未检测到信号	3733.870 s
12:18:27	测量	(0.00, -1200.00)	19	未检测到信号	3739.870 s
12:18:27	测量	(-1200.00, 1200.00)	19	未检测到信号	4281.527 s
12:18:27	测量	(-1200.00, 1200.00)	1	未检测到信号	4287.527 s
12:18:27	测量	(-1200.00, 1200.00)	3	未检测到信号	4293.527 s
12:18:27	测量	(-1200.00, 1200.00)	7	未检测到信号	4299.527 s
12:18:27	测量	(-1200.00, 1200.00)	9	未检测到信号	4305.527 s
12:18:27	测量	(-1200.00, 1200.00)	10	未检测到信号	4311.527 s
12:18:27	测量	(-1200.00, 1200.00)	11	未检测到信号	4317.527 s
12:18:27	测量	(-1200.00, 1200.00)	13	未检测到信号	4323.527 s
12:18:27	测量	(-1200.00, 1200.00)	6	未检测到信号	4329.527 s
12:18:27	测量	(-1200.00, 1200.00)	20	未检测到信号	4335.527 s
12:18:27	测量	(1200.00, 0.00)	20	未检测到信号	4877.183 s
12:18:27	测量	(1200.00, 0.00)	1	未检测到信号	4883.183 s
12:18:27	测量	(1200.00, 0.00)	3	未检测到信号	4889.183 s
12:18:27	测量	(1200.00, 0.00)	6	未检测到信号	4895.183 s
12:18:27	测量	(1200.00, 0.00)	7	未检测到信号	4901.183 s
12:18:27	测量	(1200.00, 0.00)	9	未检测到信号	4907.183 s
12:18:27	测量	(1200.00, 0.00)	10	未检测到信号	4913.183 s
12:18:27	测量	(1200.00, 0.00)	11	未检测到信号	4919.183 s
12:18:27	测量	(1200.00, 0.00)	13	未检测到信号	4925.183 s
12:18:27	测量	(1200.00, 0.00)	19	未检测到信号	4931.183 s
12:18:27	测量	(-1200.00, -1200.00)	3	未检测到信号	5473.839 s
12:18:35	退出	--	--	正常退出	5473.839 s
